,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Galler Anna-maria,Female,22-03-2024,Lenk,SUI,Austria,European Cup,Snowboard Cross,14,57.60
1,Galler Anna-maria,Female,21-03-2024,Lenk,SUI,Austria,European Cup,Snowboard Cross,7,115.20
2,Galler Anna-maria,Female,14-03-2024,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,2,232.00
3,Galler Anna-maria,Female,13-03-2024,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,9,84.10
4,Galler Anna-maria,Female,25-02-2024,Grasgehren,GER,Austria,European Cup,Snowboard Cross,17,36.40
5,Galler Anna-maria,Female,24-02-2024,Grasgehren,GER,Austria,European Cup,Snowboard Cross,11,76.80
6,Galler Anna-maria,Female,17-02-2024,Colere,ITA,Austria,European Cup,Snowboard Cross,9,104.40
7,Galler Anna-maria,Female,16-02-2024,Colere,ITA,Austria,European Cup,Snowboard Cross,2,288.00
8,Galler Anna-maria,Female,06-02-2024,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,12,63.80
9,Galler Anna-maria,Female,05-02-2024,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,7,104.40
10,Galler Anna-maria,Female,01-02-2024,Dolni Morava,CZE,Austria,European Cup,Snowboard Cross,10,75.40
11,Galler Anna-maria,Female,31-01-2024,Dolni Morava,CZE,Austria,European Cup,Snowboard Cross,31,8.12
12,Galler Anna-maria,Female,28-01-2024,Puy St. Vincent,FRA,Austria,European Cup,Snowboard Cross,6,104.00
13,Galler Anna-maria,Female,27-01-2024,Puy St. Vincent,FRA,Austria,European Cup,Snowboard Cross,7,115.20
14,Galler Anna-maria,Female,20-01-2024,Montafon,AUT,Austria,National Championships,Snowboard Cross,5,130.50
15,Galler Anna-maria,Female,09-12-2023,Pitztal,AUT,Austria,FIS,Snowboard Cross,5,81.00
16,Galler Anna-maria,Female,12-03-2023,Lenk,SUI,Austria,FIS,Snowboard Cross,4,60.00
17,Galler Anna-maria,Female,16-02-2023,Moena - Passo San Pellegrino,ITA,Austria,European Cup,Snowboard Cross,6,128.00
18,Galler Anna-maria,Female,15-02-2023,Moena - Passo San Pellegrino,ITA,Austria,European Cup,Snowboard Cross,9,92.80
19,Galler Anna-maria,Female,05-02-2023,Dolni Morava,CZE,Austria,FIS,Snowboard Cross,4,50.00
20,Galler Anna-maria,Female,04-02-2023,Dolni Morava,CZE,Austria,FIS,Snowboard Cross,5,45.00
21,Galler Anna-maria,Female,03-02-2023,Dolni Morava,CZE,Austria,FIS,Snowboard Cross,1,100.00
22,Galler Anna-maria,Female,22-01-2023,Puy St.Vincent,FRA,Austria,European Cup,Snowboard Cross,9,104.40
23,Galler Anna-maria,Female,21-01-2023,Puy St.Vincent,FRA,Austria,European Cup,Snowboard Cross,10,93.60
24,Galler Anna-maria,Female,15-01-2023,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,20,39.60
25,Galler Anna-maria,Female,14-01-2023,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,22,32.40
26,Galler Anna-maria,Female,07-01-2023,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,16,39.00
27,Galler Anna-maria,Female,06-01-2023,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,15,41.60
28,Galler Anna-maria,Female,17-12-2022,Cervinia,ITA,Austria,World Cup,Snowboard Cross,DNS,
29,Galler Anna-maria,Female,16-12-2022,Cervinia,ITA,Austria,World Cup,Snowboard Cross,DNS1,
30,Galler Anna-maria,Female,15-12-2022,Cervinia,ITA,Austria,Qualification,Snowboard Cross,DNS1,
31,Galler Anna-maria,Female,25-11-2022,Pitztal,AUT,Austria,FIS,Snowboard Cross,17,30.80
32,Galler Anna-maria,Female,24-11-2022,Pitztal,AUT,Austria,European Cup,Snowboard Cross,15,38.40
33,Galler Anna-maria,Female,24-11-2022,Pitztal,AUT,Austria,Qualification,Snowboard Cross,15,
34,Galler Anna-maria,Female,31-03-2022,Veysonnaz,SUI,Austria,FIS Junior World Championships,Snowboard Cross,DNS,
35,Galler Anna-maria,Female,27-03-2022,Lenk,SUI,Austria,National Championships,Snowboard Cross,DNS,
36,Galler Anna-maria,Female,26-03-2022,Lenk,SUI,Austria,European Cup,Snowboard Cross,12,63.80
37,Galler Anna-maria,Female,25-03-2022,Lenk,SUI,Austria,European Cup,Snowboard Cross,16,43.50
38,Galler Anna-maria,Female,26-02-2022,Grasgehren,GER,Austria,European Cup,Snowboard Cross,DNS,
39,Galler Anna-maria,Female,23-01-2022,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,13,44.00
40,Galler Anna-maria,Female,09-01-2022,Krasnoyarsk,RUS,Austria,World Cup,Snowboard Cross,17,140.00
41,Galler Anna-maria,Female,08-01-2022,Krasnoyarsk,RUS,Austria,World Cup,Snowboard Cross,30,32.00
42,Galler Anna-maria,Female,07-01-2022,Krasnoyarsk,RUS,Austria,Qualification,Snowboard Cross,30,
43,Galler Anna-maria,Female,18-12-2021,Cervinia,ITA,Austria,World Cup,Snowboard Cross,36,
44,Galler Anna-maria,Female,17-12-2021,Cervinia,ITA,Austria,Qualification,Snowboard Cross,36,
45,Galler Anna-maria,Female,14-12-2021,Reiteralm,AUT,Austria,FIS,Snowboard Cross,4,70.00
46,Galler Anna-maria,Female,13-12-2021,Reiteralm,AUT,Austria,FIS,Snowboard Cross,14,28.80
47,Galler Anna-maria,Female,10-12-2021,Montafon,AUT,Austria,World Cup,Snowboard Cross,38,19.10
48,Galler Anna-maria,Female,09-12-2021,Montafon,AUT,Austria,Qualification,Snowboard Cross,38,
49,Galler Anna-maria,Female,29-03-2021,Reiteralm,AUT,Austria,National Championships,Snowboard Cross,2,144.00
50,Galler Anna-maria,Female,24-03-2021,Krasnoyarsk ,RUS,Austria,FIS Junior World Championships,Snowboard Cross Team,4,
51,Galler Anna-maria,Female,23-03-2021,Krasnoyarsk ,RUS,Austria,FIS Junior World Championships,Snowboard Cross,3,144.00
52,Galler Anna-maria,Female,12-03-2021,Lenk,SUI,Austria,European Cup,Snowboard Cross,DNF,
53,Galler Anna-maria,Female,07-03-2021,Montafon/Gargellen,AUT,Austria,European Cup,Snowboard Cross,3,108.00
54,Galler Anna-maria,Female,06-03-2021,Montafon/Gargellen,AUT,Austria,European Cup,Snowboard Cross,6,72.00
55,Galler Anna-maria,Female,28-02-2021,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,9,58.00
56,Galler Anna-maria,Female,27-02-2021,Reiteralm,AUT,Austria,European Cup,Snowboard Cross,9,58.00
57,Galler Anna-maria,Female,18-02-2021,Reiteralm,AUT,Austria,World Cup,Snowboard Cross,18,130.00
58,Galler Anna-maria,Female,16-02-2021,Reiteralm,AUT,Austria,Qualification,Snowboard Cross,18,
59,Galler Anna-maria,Female,13-02-2021,Chiesa in Valmalenco,ITA,Austria,European Cup,Snowboard Cross,2,144.00
60,Galler Anna-maria,Female,12-02-2021,Chiesa in Valmalenco,ITA,Austria,European Cup,Snowboard Cross,5,81.00
61,Galler Anna-maria,Female,03-02-2021,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,9,58.00
62,Galler Anna-maria,Female,01-02-2021,Isola 2000,FRA,Austria,Junior,Snowboard Cross,2,112.00
63,Galler Anna-maria,Female,31-01-2021,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,18,46.80
64,Galler Anna-maria,Female,30-01-2021,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,36,
65,Galler Anna-maria,Female,24-01-2021,Chiesa in Valmalenco,ITA,Austria,World Cup,Snowboard Cross,25,60.00
66,Galler Anna-maria,Female,23-01-2021,Chiesa in Valmalenco,ITA,Austria,World Cup,Snowboard Cross,33,24.00
67,Galler Anna-maria,Female,22-01-2021,Chiesa in Valmalenco,ITA,Austria,Qualification,Snowboard Cross,33,
68,Galler Anna-maria,Female,08-03-2020,Kuehtai,AUT,Austria,Junior,Snowboard Cross,5,58.50
69,Galler Anna-maria,Female,07-03-2020,Kuehtai,AUT,Austria,Junior,Snowboard Cross,3,78.00
70,Galler Anna-maria,Female,22-02-2020,Grasgehren,GER,Austria,European Cup,Snowboard Cross,26,18.00
71,Galler Anna-maria,Female,16-02-2020,Flumserberg,SUI,Austria,FIS,Snowboard Cross,13,44.00
72,Galler Anna-maria,Female,15-02-2020,Flumserberg,SUI,Austria,FIS,Snowboard Cross,1,220.00
73,Galler Anna-maria,Female,25-01-2020,Grasgehren,GER,Austria,Junior,Snowboard Cross,32,3.38
74,Galler Anna-maria,Female,20-01-2020,Villars,SUI,Austria,Youth Olympic Winter Games,Snowboard Cross,6,72.00
75,Galler Anna-maria,Female,12-01-2020,Puy St. Vincent,FRA,Austria,European Cup,Snowboard Cross,18,46.80
76,Galler Anna-maria,Female,11-01-2020,Puy St. Vincent,FRA,Austria,European Cup,Snowboard Cross,21,36.00
77,Galler Anna-maria,Female,20-12-2019,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,5,99.00
78,Galler Anna-maria,Female,19-12-2019,Isola 2000,FRA,Austria,European Cup,Snowboard Cross,4,110.00
79,Galler Anna-maria,Female,01-12-2019,Pitztal,AUT,Austria,Junior,Snowboard Cross,13,28.00
80,Galler Anna-maria,Female,30-11-2019,Pitztal,AUT,Austria,Junior,Snowboard Cross,14,28.80
81,Galler Anna-maria,Female,28-11-2019,Pitztal,AUT,Austria,European Cup,Snowboard Cross,20,39.60
82,Galler Anna-maria,Female,07-04-2019,Gargellen,AUT,Austria,FIS,Snowboard Cross,DNS1,
83,Galler Anna-maria,Female,06-04-2019,Gargellen,AUT,Austria,National Championships,Snowboard Cross,6,60.00
84,Galler Anna-maria,Female,23-03-2019,Lenk,SUI,Austria,European Cup,Snowboard Cross,28,14.40
85,Galler Anna-maria,Female,22-03-2019,Lenk,SUI,Austria,European Cup,Snowboard Cross,27,16.20
86,Galler Anna-maria,Female,10-03-2019,Kuehtai,AUT,Austria,FIS,Snowboard Cross,7,39.60
87,Galler Anna-maria,Female,09-03-2019,Kuehtai,AUT,Austria,FIS,Snowboard Cross,6,44.00
88,Galler Anna-maria,Female,03-03-2019,Kuehtai,AUT,Austria,Junior,Snowboard Cross,6,48.00
89,Galler Anna-maria,Female,02-03-2019,Kuehtai,AUT,Austria,Junior,Snowboard Cross,2,104.00
90,Galler Anna-maria,Female,24-02-2019,Reiteralm,AUT,Austria,FIS,Snowboard Cross,7,57.60
91,Galler Anna-maria,Female,23-02-2019,Reiteralm,AUT,Austria,FIS,Snowboard Cross,6,64.00
92,Galler Anna-maria,Female,10-02-2019,Dolni Morava,CZE,Austria,FIS,Snowboard Cross,9,34.80
93,Galler Anna-maria,Female,09-02-2019,Dolni Morava,CZE,Austria,FIS,Snowboard Cross,16,18.00
94,Galler Anna-maria,Female,07-02-2019,Dolni Morava,CZE,Austria,European Cup,Snowboard Cross,DNS,
95,Galler Anna-maria,Female,06-02-2019,Dolni Morava,CZE,Austria,European Cup,Snowboard Cross,11,48.00
96,Galler Anna-maria,Female,27-01-2019,Grasgehren,GER,Austria,Junior,Snowboard Cross,2,88.00
97,Galler Anna-maria,Female,26-01-2019,Grasgehren,GER,Austria,Junior,Snowboard Cross,17,16.80
98,Galler Anna-maria,Female,20-01-2019,Grasgehren,GER,Austria,European Cup,Snowboard Cross,31,
99,Galler Anna-maria,Female,19-01-2019,Grasgehren,GER,Austria,European Cup,Snowboard Cross,32,
100,Galler Anna-maria,Female,13-01-2019,Puy St. Vincent,FRA,Austria,Junior,Snowboard Cross,9,26.10
101,Galler Anna-maria,Female,12-01-2019,Puy St. Vincent,FRA,Austria,Junior,Snowboard Cross,4,45.00
102,Galler Anna-maria,Female,02-12-2018,Pitzal,AUT,Austria,Junior,Snowboard Cross,12,28.60
103,Galler Anna-maria,Female,01-12-2018,Pitzal,AUT,Austria,Junior,Snowboard Cross,25,7.80
104,Galler Anna-maria,Female,29-11-2018,Pitztal,AUT,Austria,European Cup,Snowboard Cross,42,6.44
105,Galler Anna-maria,Female,28-11-2018,Pitztal,AUT,Austria,European Cup,Snowboard Cross,37,6.98
106,Galler Anna-maria,Female,08-04-2018,Bad Gastein,AUT,Austria,FIS,Snowboard Cross,17,30.80
107,Galler Anna-maria,Female,07-04-2018,Bad Gastein,AUT,Austria,European Cup,Snowboard Cross,20,28.60
108,Galler Anna-maria,Female,24-03-2018,Kühtai,AUT,Austria,Junior,Snowboard Cross,10,28.60
109,Galler Anna-maria,Female,23-03-2018,Kühtai,AUT,Austria,Junior,Snowboard Cross,10,28.60
110,Galler Anna-maria,Female,10-03-2018,Annaberg,AUT,Austria,FIS,Snowboard Cross,2,56.00
111,Galler Anna-maria,Female,09-03-2018,Annaberg,AUT,Austria,FIS,Snowboard Cross,4,35.00
112,Galler Anna-maria,Female,04-03-2018,Gargellen,AUT,Austria,FIS,Snowboard Cross,17,25.20
113,Galler Anna-maria,Female,03-03-2018,Gargellen,AUT,Austria,FIS,Snowboard Cross,2,144.00
114,Galler Anna-maria,Female,24-02-2018,Sedrun,SUI,Austria,National Championships,Snowboard Cross,9,63.80
115,Galler Anna-maria,Female,18-02-2018,Flumserberg,SUI,Austria,Junior,Snowboard Cross,9,26.10
116,Galler Anna-maria,Female,17-02-2018,Flumserberg,SUI,Austria,Junior,Snowboard Cross,9,31.90
117,Galler Anna-maria,Female,11-02-2018,Kuehtai,AUT,Austria,Junior,Snowboard Cross,6,40.00
118,Galler Anna-maria,Female,10-02-2018,Kuehtai,AUT,Austria,Junior,Snowboard Cross,5,45.00
119,Galler Anna-maria,Female,28-01-2018,Grasgehren,GER,Austria,European Cup,Snowboard Cross,25,12.00
120,Galler Anna-maria,Female,27-01-2018,Grasgehren,GER,Austria,European Cup,Snowboard Cross,24,14.00
121,Galler Anna-maria,Female,21-01-2018,Grasgehren,GER,Austria,Junior,Snowboard Cross,17,19.60
122,Galler Anna-maria,Female,20-01-2018,Grasgehren,GER,Austria,Junior,Snowboard Cross,17,19.60
123,Galler Anna-maria,Female,03-12-2017,Pitztal,AUT,Austria,Junior,Snowboard Cross,25,9.60
124,Galler Anna-maria,Female,02-12-2017,Pitztal,AUT,Austria,Junior,Snowboard Cross,24,11.20
