,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Martin William,Male,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,17,50.40
1,Martin William,Male,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,16,54.00
2,Martin William,Male,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,17,50.40
3,Martin William,Male,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,17,7.00
4,Martin William,Male,06-04-2024,Gudauri,GEO,Australia,FIS Junior World Championships,Snowboard Cross,32,9.36
5,Martin William,Male,05-04-2024,Gudauri,GEO,Australia,Qualification,Snowboard Cross,31,
6,Martin William,Male,29-03-2024,Mt St. Anne,CAN,Australia,Nor-Am Cup,Snowboard Cross,33,4.80
7,Martin William,Male,28-03-2024,Mt St. Anne,CAN,Australia,Nor-Am Cup,Snowboard Cross,21,22.00
8,Martin William,Male,21-01-2024,Gangwon/Welli Hilli,KOR,Australia,Youth Olympic Winter Games,Snowboard Cross Team,3,
9,Martin William,Male,20-01-2024,Gangwon/Welli Hilli,KOR,Australia,Youth Olympic Winter Games,Snowboard Cross,12,24.20
10,Martin William,Male,09-12-2023,Pitztal,AUT,Australia,Junior,Snowboard Cross,8,32.00
11,Martin William,Male,19-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,13,40.00
12,Martin William,Male,18-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,DNS,
13,Martin William,Male,17-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,11,48.00
14,Martin William,Male,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,3,42.00
15,Martin William,Male,03-04-2023,Moena - Passo San Pellegrino,ITA,Australia,National Junior Championships,Snowboard Cross,9,37.70
16,Martin William,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Australia,National Championships,Snowboard Cross,15,46.40
