,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Hochreiter Melanie,Female,06-04-2025,Cortina d Ampezzo,ITA,Germany,National Championships,Parallel Giant Slalom,7,104.40
1,Hochreiter Melanie,Female,05-04-2025,Cortina d Ampezzo,ITA,Germany,National Championships,Parallel Slalom,6,116.00
2,Hochreiter Melanie,Female,23-03-2025,Engadin,SUI,Germany,World Championships,Parallel Team,30,
3,Hochreiter Melanie,Female,23-03-2025,Engadin,SUI,Germany,Qualification,Parallel Team,30,
4,Hochreiter Melanie,Female,22-03-2025,Engadin,SUI,Germany,Qualification,Parallel Slalom,12,
5,Hochreiter Melanie,Female,22-03-2025,Engadin,SUI,Germany,World Championships,Parallel Slalom,13,200.00
6,Hochreiter Melanie,Female,20-03-2025,Engadin,SUI,Germany,Qualification,Parallel Giant Slalom,25,
7,Hochreiter Melanie,Female,20-03-2025,Engadin,SUI,Germany,World Championships,Parallel Giant Slalom,25,60.00
8,Hochreiter Melanie,Female,16-03-2025,Winterberg,GER,Germany,World Cup,Parallel Slalom Team,11,
9,Hochreiter Melanie,Female,16-03-2025,Winterberg,GER,Germany,Qualification,Parallel Slalom Team,11,
10,Hochreiter Melanie,Female,15-03-2025,Winterberg,GER,Germany,Qualification,Parallel Slalom,21,
11,Hochreiter Melanie,Female,15-03-2025,Winterberg,GER,Germany,World Cup,Parallel Slalom,21,100.00
12,Hochreiter Melanie,Female,02-03-2025,Krynica,POL,Germany,Qualification,Parallel Giant Slalom,16,
13,Hochreiter Melanie,Female,02-03-2025,Krynica,POL,Germany,World Cup,Parallel Giant Slalom,16,150.00
14,Hochreiter Melanie,Female,01-03-2025,Krynica,POL,Germany,Qualification,Parallel Giant Slalom,29,
15,Hochreiter Melanie,Female,01-03-2025,Krynica,POL,Germany,World Cup,Parallel Giant Slalom,29,36.00
16,Hochreiter Melanie,Female,25-01-2025,Rogla,SLO,Germany,Qualification,Parallel Giant Slalom,39,
17,Hochreiter Melanie,Female,25-01-2025,Rogla,SLO,Germany,World Cup,Parallel Giant Slalom,39,
18,Hochreiter Melanie,Female,22-01-2025,Bansko,BUL,Germany,European Cup,Parallel Giant Slalom,DNS,
19,Hochreiter Melanie,Female,21-01-2025,Bansko,BUL,Germany,European Cup,Parallel Giant Slalom,11,86.40
20,Hochreiter Melanie,Female,19-01-2025,Bansko,BUL,Germany,Qualification,Parallel Giant Slalom,15,
21,Hochreiter Melanie,Female,19-01-2025,Bansko,BUL,Germany,World Cup,Parallel Giant Slalom,15,160.00
22,Hochreiter Melanie,Female,18-01-2025,Bansko,BUL,Germany,Qualification,Parallel Giant Slalom,11,
23,Hochreiter Melanie,Female,18-01-2025,Bansko,BUL,Germany,World Cup,Parallel Giant Slalom,11,240.00
